datalink b 
=========================================================================
                          Station B                                 
-------------------------------------------------------------------------
Protocol.lib, version 3.0, Build: Oct 19 2009 (jiangy@public3.bta.net.cn)
Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-005
Log file "datalink-B.log", TCP port 59144, debug mask 0x00
Station B is connecting station A (TCP port 59144) ... Done.
New epoch: Tue Dec 01 14:03:25 2009
=========================================================================
Designed by chenchen_07415_071419, build: Dec  1 2009  14:02:59

1.441 ** WARNING: System too busy, sleep 15 ms, but be awakened 163 ms later
111.646 .... 415 packets received, 7644 bps, 95.55%, Err 9 (1.0e-005)
113.760 .... 423 packets received, 7646 bps, 95.58%, Err 9 (9.9e-006)
115.875 .... 431 packets received, 7648 bps, 95.60%, Err 9 (9.7e-006)
117.988 .... 439 packets received, 7650 bps, 95.62%, Err 9 (9.6e-006)
120.630 .... 445 packets received, 7584 bps, 94.80%, Err 10 (1.0e-005)
122.734 .... 456 packets received, 7638 bps, 95.47%, Err 10 (1.0e-005)
124.845 .... 464 packets received, 7640 bps, 95.50%, Err 10 (1.0e-005)
126.961 .... 472 packets received, 7641 bps, 95.52%, Err 10 (9.9e-006)
129.059 .... 476 packets received, 7581 bps, 94.76%, Err 11 (1.1e-005)
131.179 .... 487 packets received, 7630 bps, 95.37%, Err 11 (1.0e-005)
133.278 .... 495 packets received, 7633 bps, 95.41%, Err 11 (1.0e-005)
135.405 .... 503 packets received, 7634 bps, 95.42%, Err 11 (1.0e-005)
137.521 .... 511 packets received, 7635 bps, 95.44%, Err 11 (1.0e-005)
139.634 .... 519 packets received, 7637 bps, 95.47%, Err 11 (9.9e-006)
141.740 .... 527 packets received, 7639 bps, 95.49%, Err 11 (9.7e-006)
143.841 .... 535 packets received, 7642 bps, 95.52%, Err 11 (9.6e-006)
145.952 .... 543 packets received, 7643 bps, 95.54%, Err 11 (9.4e-006)
148.339 .... 548 packets received, 7589 bps, 94.87%, Err 12 (1.0e-005)
150.458 .... 559 packets received, 7632 bps, 95.40%, Err 12 (1.0e-005)
152.573 .... 567 packets received, 7634 bps, 95.42%, Err 12 (9.8e-006)
155.992 .... 571 packets received, 7519 bps, 93.98%, Err 13 (1.0e-005)
158.640 .... 587 packets received, 7600 bps, 95.00%, Err 13 (1.0e-005)
160.754 .... 593 packets received, 7576 bps, 94.71%, Err 13 (1.0e-005)
162.862 .... 599 packets received, 7554 bps, 94.42%, Err 13 (1.0e-005)
164.972 .... 605 packets received, 7532 bps, 94.15%, Err 14 (1.1e-005)
167.104 .... 611 packets received, 7509 bps, 93.86%, Err 14 (1.0e-005)
169.198 .... 617 packets received, 7489 bps, 93.61%, Err 14 (1.0e-005)
171.311 .... 624 packets received, 7480 bps, 93.50%, Err 14 (1.0e-005)
173.418 .... 631 packets received, 7472 bps, 93.40%, Err 14 (1.0e-005)
175.801 .... 638 packets received, 7452 bps, 93.15%, Err 14 (1.0e-005)
177.900 .... 644 packets received, 7433 bps, 92.91%, Err 14 (9.8e-006)
180.034 .... 650 packets received, 7413 bps, 92.66%, Err 14 (9.7e-006)
182.663 .... 655 packets received, 7362 bps, 92.03%, Err 15 (1.0e-005)
184.764 .... 665 packets received, 7390 bps, 92.37%, Err 15 (1.0e-005)
186.873 .... 673 packets received, 7394 bps, 92.42%, Err 15 (1.0e-005)
189.026 .... 681 packets received, 7396 bps, 92.45%, Err 15 (9.9e-006)
191.115 .... 688 packets received, 7390 bps, 92.38%, Err 16 (1.0e-005)
193.229 .... 696 packets received, 7394 bps, 92.43%, Err 16 (1.0e-005)
195.331 .... 704 packets received, 7399 bps, 92.48%, Err 16 (1.0e-005)
197.447 .... 712 packets received, 7402 bps, 92.53%, Err 16 (1.0e-005)
199.555 .... 720 packets received, 7406 bps, 92.58%, Err 16 (1.0e-005)
201.666 .... 728 packets received, 7410 bps, 92.63%, Err 16 (9.9e-006)
203.780 .... 736 packets received, 7414 bps, 92.67%, Err 16 (9.8e-006)
205.914 .... 744 packets received, 7416 bps, 92.70%, Err 16 (9.7e-006)
208.021 .... 752 packets received, 7420 bps, 92.75%, Err 16 (9.6e-006)
210.133 .... 760 packets received, 7423 bps, 92.79%, Err 16 (9.5e-006)
212.239 .... 768 packets received, 7427 bps, 92.84%, Err 16 (9.4e-006)
214.342 .... 776 packets received, 7430 bps, 92.88%, Err 16 (9.3e-006)
216.464 .... 784 packets received, 7433 bps, 92.92%, Err 16 (9.2e-006)
219.100 .... 790 packets received, 7400 bps, 92.50%, Err 17 (9.7e-006)
221.208 .... 801 packets received, 7431 bps, 92.89%, Err 17 (9.6e-006)
223.310 .... 809 packets received, 7435 bps, 92.93%, Err 17 (9.5e-006)
225.448 .... 817 packets received, 7437 bps, 92.96%, Err 17 (9.4e-006)
227.555 .... 825 packets received, 7440 bps, 93.00%, Err 17 (9.3e-006)
229.672 .... 833 packets received, 7443 bps, 93.04%, Err 17 (9.3e-006)
231.780 .... 841 packets received, 7446 bps, 93.07%, Err 17 (9.2e-006)
233.879 .... 849 packets received, 7449 bps, 93.11%, Err 17 (9.1e-006)
236.537 .... 855 packets received, 7417 bps, 92.72%, Err 18 (9.5e-006)
239.697 .... 866 packets received, 7413 bps, 92.67%, Err 19 (9.9e-006)
241.825 .... 877 packets received, 7441 bps, 93.02%, Err 19 (9.8e-006)
243.933 .... 885 packets received, 7444 bps, 93.05%, Err 19 (9.7e-006)
246.038 .... 893 packets received, 7447 bps, 93.09%, Err 19 (9.7e-006)
248.161 .... 901 packets received, 7449 bps, 93.12%, Err 19 (9.6e-006)
250.274 .... 909 packets received, 7452 bps, 93.15%, Err 19 (9.5e-006)
252.386 .... 916 packets received, 7447 bps, 93.08%, Err 20 (9.9e-006)
254.488 .... 924 packets received, 7449 bps, 93.12%, Err 20 (9.8e-006)
256.603 .... 932 packets received, 7452 bps, 93.15%, Err 20 (9.8e-006)
258.717 .... 940 packets received, 7454 bps, 93.18%, Err 20 (9.7e-006)
260.852 .... 948 packets received, 7456 bps, 93.20%, Err 20 (9.6e-006)
262.934 .... 956 packets received, 7459 bps, 93.24%, Err 20 (9.5e-006)
265.055 .... 964 packets received, 7461 bps, 93.27%, Err 20 (9.4e-006)
267.168 .... 971 packets received, 7456 bps, 93.20%, Err 21 (9.8e-006)
269.284 .... 979 packets received, 7458 bps, 93.23%, Err 21 (9.8e-006)
271.400 .... 987 packets received, 7461 bps, 93.26%, Err 21 (9.7e-006)
273.505 .... 991 packets received, 7433 bps, 92.91%, Err 22 (1.0e-005)
275.621 .... 1002 packets received, 7458 bps, 93.22%, Err 22 (1.0e-005)
277.756 .... 1010 packets received, 7459 bps, 93.24%, Err 22 (9.9e-006)
279.841 .... 1018 packets received, 7462 bps, 93.28%, Err 22 (9.8e-006)
281.959 .... 1025 packets received, 7457 bps, 93.22%, Err 23 (1.0e-005)
284.072 .... 1033 packets received, 7459 bps, 93.24%, Err 23 (1.0e-005)
286.187 .... 1041 packets received, 7462 bps, 93.27%, Err 23 (1.0e-005)
288.295 .... 1049 packets received, 7464 bps, 93.30%, Err 23 (1.0e-005)
290.405 .... 1057 packets received, 7466 bps, 93.33%, Err 23 (9.9e-006)
292.524 .... 1065 packets received, 7468 bps, 93.35%, Err 23 (9.8e-006)
294.635 .... 1073 packets received, 7470 bps, 93.38%, Err 23 (9.8e-006)
296.757 .... 1081 packets received, 7472 bps, 93.40%, Err 23 (9.7e-006)
298.858 .... 1089 packets received, 7474 bps, 93.43%, Err 23 (9.6e-006)
300.965 .... 1097 packets received, 7476 bps, 93.45%, Err 23 (9.6e-006)
303.074 .... 1105 packets received, 7478 bps, 93.48%, Err 23 (9.5e-006)
305.196 .... 1113 packets received, 7480 bps, 93.50%, Err 23 (9.4e-006)
307.305 .... 1121 packets received, 7482 bps, 93.52%, Err 23 (9.4e-006)
309.415 .... 1129 packets received, 7484 bps, 93.55%, Err 23 (9.3e-006)
311.529 .... 1137 packets received, 7486 bps, 93.57%, Err 23 (9.2e-006)
314.167 .... 1143 packets received, 7462 bps, 93.27%, Err 24 (9.6e-006)
316.300 .... 1154 packets received, 7483 bps, 93.54%, Err 24 (9.5e-006)
318.398 .... 1162 packets received, 7485 bps, 93.56%, Err 24 (9.4e-006)
320.522 .... 1170 packets received, 7487 bps, 93.58%, Err 24 (9.4e-006)
322.632 .... 1178 packets received, 7488 bps, 93.60%, Err 24 (9.3e-006)
324.760 .... 1186 packets received, 7490 bps, 93.62%, Err 24 (9.2e-006)
326.852 .... 1194 packets received, 7492 bps, 93.65%, Err 24 (9.2e-006)
328.979 .... 1202 packets received, 7493 bps, 93.67%, Err 24 (9.1e-006)
331.105 .... 1210 packets received, 7495 bps, 93.68%, Err 24 (9.1e-006)
333.183 .... 1218 packets received, 7497 bps, 93.71%, Err 24 (9.0e-006)
335.291 .... 1226 packets received, 7499 bps, 93.74%, Err 24 (9.0e-006)
337.458 .... 1234 packets received, 7499 bps, 93.74%, Err 25 (9.3e-006)
339.512 .... 1241 packets received, 7496 bps, 93.70%, Err 25 (9.2e-006)
341.631 .... 1249 packets received, 7498 bps, 93.72%, Err 25 (9.2e-006)
343.729 .... 1256 packets received, 7494 bps, 93.67%, Err 26 (9.5e-006)
345.857 .... 1264 packets received, 7495 bps, 93.68%, Err 26 (9.4e-006)
348.499 .... 1270 packets received, 7473 bps, 93.41%, Err 27 (9.7e-006)
351.393 .... 1280 packets received, 7470 bps, 93.37%, Err 28 (1.0e-005)
353.512 .... 1291 packets received, 7489 bps, 93.61%, Err 28 (9.9e-006)
355.622 .... 1298 packets received, 7485 bps, 93.56%, Err 29 (1.0e-005)
357.741 .... 1306 packets received, 7486 bps, 93.58%, Err 29 (1.0e-005)
359.864 .... 1314 packets received, 7488 bps, 93.59%, Err 29 (1.0e-005)
361.961 .... 1318 packets received, 7467 bps, 93.34%, Err 30 (1.0e-005)
364.078 .... 1329 packets received, 7485 bps, 93.57%, Err 30 (1.0e-005)
366.177 .... 1337 packets received, 7487 bps, 93.59%, Err 30 (1.0e-005)
368.295 .... 1345 packets received, 7489 bps, 93.61%, Err 30 (1.0e-005)
370.404 .... 1353 packets received, 7490 bps, 93.63%, Err 30 (1.0e-005)
372.513 .... 1361 packets received, 7492 bps, 93.65%, Err 30 (1.0e-005)
374.631 .... 1369 packets received, 7493 bps, 93.66%, Err 30 (1.0e-005)
376.742 .... 1377 packets received, 7495 bps, 93.68%, Err 30 (1.0e-005)
378.855 .... 1385 packets received, 7496 bps, 93.70%, Err 30 (9.9e-006)
380.976 .... 1393 packets received, 7497 bps, 93.72%, Err 30 (9.8e-006)
383.087 .... 1401 packets received, 7499 bps, 93.74%, Err 30 (9.8e-006)
385.188 .... 1409 packets received, 7500 bps, 93.76%, Err 30 (9.7e-006)
387.553 .... 1414 packets received, 7481 bps, 93.51%, Err 32 (1.0e-005)
389.687 .... 1424 packets received, 7493 bps, 93.66%, Err 33 (1.1e-005)
391.793 .... 1431 packets received, 7489 bps, 93.61%, Err 33 (1.1e-005)
393.917 .... 1438 packets received, 7485 bps, 93.56%, Err 34 (1.1e-005)
396.012 .... 1446 packets received, 7487 bps, 93.58%, Err 34 (1.1e-005)
398.126 .... 1454 packets received, 7488 bps, 93.60%, Err 34 (1.1e-005)
400.239 .... 1462 packets received, 7490 bps, 93.62%, Err 34 (1.1e-005)
402.349 .... 1470 packets received, 7491 bps, 93.64%, Err 34 (1.1e-005)
404.458 .... 1478 packets received, 7492 bps, 93.66%, Err 34 (1.1e-005)
406.570 .... 1486 packets received, 7494 bps, 93.67%, Err 34 (1.0e-005)
408.681 .... 1494 packets received, 7495 bps, 93.69%, Err 34 (1.0e-005)
410.805 .... 1502 packets received, 7496 bps, 93.70%, Err 35 (1.1e-005)
412.903 .... 1510 packets received, 7498 bps, 93.72%, Err 35 (1.1e-005)
415.019 .... 1518 packets received, 7499 bps, 93.74%, Err 35 (1.1e-005)
417.148 .... 1526 packets received, 7500 bps, 93.75%, Err 35 (1.0e-005)
419.247 .... 1534 packets received, 7502 bps, 93.77%, Err 35 (1.0e-005)
421.369 .... 1542 packets received, 7503 bps, 93.79%, Err 35 (1.0e-005)
423.485 .... 1550 packets received, 7504 bps, 93.80%, Err 35 (1.0e-005)
425.581 .... 1558 packets received, 7506 bps, 93.82%, Err 35 (1.0e-005)
427.698 .... 1566 packets received, 7507 bps, 93.83%, Err 35 (1.0e-005)
429.805 .... 1574 packets received, 7508 bps, 93.85%, Err 35 (1.0e-005)
431.934 .... 1582 packets received, 7509 bps, 93.86%, Err 35 (1.0e-005)
434.044 .... 1590 packets received, 7510 bps, 93.88%, Err 35 (1.0e-005)
436.147 .... 1598 packets received, 7512 bps, 93.89%, Err 35 (1.0e-005)
438.263 .... 1606 packets received, 7513 bps, 93.91%, Err 35 (1.0e-005)
440.381 .... 1614 packets received, 7514 bps, 93.92%, Err 35 (9.9e-006)
442.494 .... 1622 packets received, 7515 bps, 93.94%, Err 35 (9.9e-006)
444.617 .... 1630 packets received, 7516 bps, 93.95%, Err 35 (9.8e-006)
446.724 .... 1638 packets received, 7517 bps, 93.96%, Err 35 (9.8e-006)
449.116 .... 1642 packets received, 7495 bps, 93.69%, Err 36 (1.0e-005)
451.233 .... 1654 packets received, 7515 bps, 93.93%, Err 36 (1.0e-005)
453.337 .... 1662 packets received, 7516 bps, 93.95%, Err 36 (9.9e-006)
455.450 .... 1670 packets received, 7517 bps, 93.96%, Err 36 (9.9e-006)
457.571 .... 1673 packets received, 7496 bps, 93.69%, Err 37 (1.0e-005)
459.682 .... 1685 packets received, 7515 bps, 93.93%, Err 37 (1.0e-005)
461.790 .... 1693 packets received, 7516 bps, 93.95%, Err 37 (1.0e-005)
464.963 .... 1700 packets received, 7495 bps, 93.69%, Err 38 (1.0e-005)
467.085 .... 1712 packets received, 7514 bps, 93.92%, Err 38 (1.0e-005)
469.179 .... 1720 packets received, 7515 bps, 93.94%, Err 38 (1.0e-005)
471.302 .... 1728 packets received, 7516 bps, 93.95%, Err 38 (1.0e-005)
473.427 .... 1736 packets received, 7517 bps, 93.96%, Err 38 (1.0e-005)
475.529 .... 1744 packets received, 7518 bps, 93.98%, Err 38 (1.0e-005)
477.648 .... 1752 packets received, 7519 bps, 93.99%, Err 38 (9.9e-006)
480.554 .... 1758 packets received, 7499 bps, 93.74%, Err 39 (1.0e-005)
482.651 .... 1770 packets received, 7518 bps, 93.97%, Err 39 (1.0e-005)
484.776 .... 1778 packets received, 7519 bps, 93.98%, Err 39 (1.0e-005)
486.886 .... 1786 packets received, 7520 bps, 93.99%, Err 39 (1.0e-005)
488.998 .... 1794 packets received, 7521 bps, 94.01%, Err 39 (1.0e-005)
491.119 .... 1802 packets received, 7522 bps, 94.02%, Err 40 (1.0e-005)
493.221 .... 1810 packets received, 7523 bps, 94.03%, Err 40 (1.0e-005)
495.335 .... 1818 packets received, 7524 bps, 94.05%, Err 40 (1.0e-005)
498.761 .... 1826 packets received, 7505 bps, 93.81%, Err 41 (1.0e-005)
500.880 .... 1838 packets received, 7522 bps, 94.03%, Err 41 (1.0e-005)
502.982 .... 1846 packets received, 7523 bps, 94.04%, Err 41 (1.0e-005)
505.106 .... 1854 packets received, 7524 bps, 94.05%, Err 41 (1.0e-005)
507.222 .... 1862 packets received, 7525 bps, 94.06%, Err 41 (1.0e-005)
509.322 .... 1870 packets received, 7526 bps, 94.08%, Err 41 (1.0e-005)
511.442 .... 1878 packets received, 7527 bps, 94.09%, Err 41 (1.0e-005)
513.556 .... 1886 packets received, 7528 bps, 94.10%, Err 41 (1.0e-005)
515.669 .... 1894 packets received, 7529 bps, 94.11%, Err 41 (9.9e-006)
517.776 .... 1902 packets received, 7530 bps, 94.12%, Err 41 (9.9e-006)
520.423 .... 1908 packets received, 7515 bps, 93.94%, Err 42 (1.0e-005)
523.318 .... 1918 packets received, 7513 bps, 93.91%, Err 43 (1.0e-005)
525.425 .... 1929 packets received, 7525 bps, 94.07%, Err 43 (1.0e-005)
527.544 .... 1937 packets received, 7526 bps, 94.08%, Err 43 (1.0e-005)
529.658 .... 1945 packets received, 7527 bps, 94.09%, Err 43 (1.0e-005)
530.768 ** WARNING: System too busy, sleep 15 ms, but be awakened 72 ms later
531.776 .... 1953 packets received, 7528 bps, 94.10%, Err 43 (1.0e-005)
533.885 .... 1961 packets received, 7529 bps, 94.11%, Err 43 (1.0e-005)
536.011 .... 1968 packets received, 7526 bps, 94.07%, Err 44 (1.0e-005)
538.098 .... 1976 packets received, 7527 bps, 94.09%, Err 44 (1.0e-005)
540.216 .... 1984 packets received, 7528 bps, 94.10%, Err 44 (1.0e-005)
542.851 .... 1990 packets received, 7514 bps, 93.92%, Err 45 (1.0e-005)
544.976 .... 2001 packets received, 7526 bps, 94.08%, Err 45 (1.0e-005)
547.091 .... 2009 packets received, 7527 bps, 94.09%, Err 45 (1.0e-005)
549.217 .... 2017 packets received, 7528 bps, 94.09%, Err 45 (1.0e-005)
551.323 .... 2025 packets received, 7529 bps, 94.11%, Err 45 (1.0e-005)
553.427 .... 2033 packets received, 7530 bps, 94.12%, Err 45 (1.0e-005)
555.536 .... 2041 packets received, 7530 bps, 94.13%, Err 45 (1.0e-005)
557.651 .... 2049 packets received, 7531 bps, 94.14%, Err 45 (1.0e-005)
559.753 .... 2057 packets received, 7532 bps, 94.15%, Err 45 (1.0e-005)
561.887 .... 2065 packets received, 7533 bps, 94.16%, Err 45 (1.0e-005)
563.976 .... 2073 packets received, 7534 bps, 94.17%, Err 45 (1.0e-005)
566.103 .... 2081 packets received, 7535 bps, 94.18%, Err 45 (9.9e-006)
568.201 .... 2089 packets received, 7536 bps, 94.20%, Err 45 (9.9e-006)
570.321 .... 2096 packets received, 7533 bps, 94.16%, Err 46 (1.0e-005)
572.425 .... 2104 packets received, 7534 bps, 94.17%, Err 46 (1.0e-005)
574.541 .... 2112 packets received, 7534 bps, 94.18%, Err 46 (1.0e-005)
576.672 .... 2120 packets received, 7535 bps, 94.19%, Err 46 (1.0e-005)
578.794 .... 2128 packets received, 7536 bps, 94.20%, Err 46 (9.9e-006)
580.889 .... 2136 packets received, 7537 bps, 94.21%, Err 46 (9.9e-006)
583.001 .... 2144 packets received, 7538 bps, 94.22%, Err 46 (9.9e-006)
585.122 .... 2152 packets received, 7538 bps, 94.23%, Err 47 (1.0e-005)
587.232 .... 2160 packets received, 7539 bps, 94.24%, Err 47 (1.0e-005)
589.334 .... 2168 packets received, 7540 bps, 94.25%, Err 47 (1.0e-005)
591.452 .... 2175 packets received, 7537 bps, 94.21%, Err 48 (1.0e-005)
594.599 .... 2183 packets received, 7525 bps, 94.06%, Err 49 (1.0e-005)
596.730 .... 2194 packets received, 7536 bps, 94.20%, Err 49 (1.0e-005)
598.833 .... 2202 packets received, 7537 bps, 94.21%, Err 49 (1.0e-005)
600.958 .... 2210 packets received, 7537 bps, 94.22%, Err 49 (1.0e-005)
603.053 .... 2218 packets received, 7538 bps, 94.23%, Err 49 (1.0e-005)
605.173 .... 2226 packets received, 7539 bps, 94.24%, Err 49 (1.0e-005)
607.296 .... 2234 packets received, 7539 bps, 94.24%, Err 49 (1.0e-005)
609.403 .... 2242 packets received, 7540 bps, 94.25%, Err 49 (1.0e-005)
611.527 .... 2250 packets received, 7541 bps, 94.26%, Err 49 (1.0e-005)
613.624 .... 2258 packets received, 7542 bps, 94.27%, Err 49 (1.0e-005)
615.741 .... 2266 packets received, 7543 bps, 94.28%, Err 49 (1.0e-005)
617.868 .... 2274 packets received, 7543 bps, 94.29%, Err 49 (9.9e-006)
619.972 .... 2282 packets received, 7544 bps, 94.30%, Err 49 (9.9e-006)
622.090 .... 2290 packets received, 7545 bps, 94.31%, Err 49 (9.8e-006)
624.208 .... 2298 packets received, 7545 bps, 94.32%, Err 49 (9.8e-006)
626.300 .... 2306 packets received, 7546 bps, 94.33%, Err 49 (9.8e-006)
628.418 .... 2314 packets received, 7547 bps, 94.33%, Err 49 (9.7e-006)
630.525 .... 2322 packets received, 7548 bps, 94.34%, Err 49 (9.7e-006)
632.645 .... 2330 packets received, 7548 bps, 94.35%, Err 49 (9.7e-006)
634.758 .... 2338 packets received, 7549 bps, 94.36%, Err 49 (9.7e-006)
636.865 .... 2346 packets received, 7550 bps, 94.37%, Err 49 (9.6e-006)
638.992 .... 2354 packets received, 7550 bps, 94.38%, Err 49 (9.6e-006)
642.172 .... 2360 packets received, 7532 bps, 94.15%, Err 51 (9.9e-006)
644.259 .... 2372 packets received, 7546 bps, 94.32%, Err 51 (9.9e-006)
646.916 .... 2378 packets received, 7534 bps, 94.17%, Err 52 (1.0e-005)
649.012 .... 2389 packets received, 7544 bps, 94.30%, Err 52 (1.0e-005)
651.144 .... 2397 packets received, 7544 bps, 94.31%, Err 52 (1.0e-005)
653.260 .... 2405 packets received, 7545 bps, 94.31%, Err 52 (1.0e-005)
655.367 .... 2413 packets received, 7546 bps, 94.32%, Err 52 (9.9e-006)
657.479 .... 2421 packets received, 7547 bps, 94.33%, Err 52 (9.9e-006)
659.588 .... 2429 packets received, 7547 bps, 94.34%, Err 52 (9.9e-006)
662.244 .... 2435 packets received, 7536 bps, 94.19%, Err 53 (1.0e-005)
664.352 .... 2446 packets received, 7546 bps, 94.32%, Err 53 (1.0e-005)
666.456 .... 2453 packets received, 7543 bps, 94.29%, Err 54 (1.0e-005)
668.559 .... 2461 packets received, 7544 bps, 94.30%, Err 54 (1.0e-005)
670.674 .... 2469 packets received, 7545 bps, 94.31%, Err 54 (1.0e-005)
672.788 .... 2477 packets received, 7545 bps, 94.32%, Err 54 (1.0e-005)
674.921 .... 2485 packets received, 7546 bps, 94.32%, Err 54 (1.0e-005)
677.033 .... 2493 packets received, 7546 bps, 94.33%, Err 54 (1.0e-005)
679.146 .... 2501 packets received, 7547 bps, 94.34%, Err 54 (9.9e-006)
681.246 .... 2505 packets received, 7536 bps, 94.20%, Err 55 (1.0e-005)
683.370 .... 2515 packets received, 7542 bps, 94.28%, Err 56 (1.0e-005)
685.465 .... 2523 packets received, 7543 bps, 94.29%, Err 56 (1.0e-005)
687.587 .... 2527 packets received, 7532 bps, 94.15%, Err 57 (1.0e-005)
689.715 .... 2538 packets received, 7541 bps, 94.27%, Err 57 (1.0e-005)
691.816 .... 2546 packets received, 7542 bps, 94.28%, Err 57 (1.0e-005)
693.949 .... 2554 packets received, 7542 bps, 94.28%, Err 57 (1.0e-005)
696.046 .... 2562 packets received, 7543 bps, 94.29%, Err 57 (1.0e-005)
698.163 .... 2566 packets received, 7532 bps, 94.15%, Err 58 (1.0e-005)
702.385 .... 2576 packets received, 7516 bps, 93.95%, Err 59 (1.1e-005)
705.014 .... 2592 packets received, 7534 bps, 94.18%, Err 59 (1.0e-005)
707.139 .... 2598 packets received, 7529 bps, 94.11%, Err 59 (1.0e-005)
709.229 .... 2604 packets received, 7524 bps, 94.05%, Err 59 (1.0e-005)
711.353 .... 2610 packets received, 7519 bps, 93.99%, Err 59 (1.0e-005)
713.447 .... 2616 packets received, 7514 bps, 93.93%, Err 60 (1.1e-005)
715.571 .... 2622 packets received, 7509 bps, 93.86%, Err 60 (1.0e-005)
717.678 .... 2628 packets received, 7504 bps, 93.80%, Err 60 (1.0e-005)
719.797 .... 2634 packets received, 7499 bps, 93.74%, Err 60 (1.0e-005)
